EmployeeKey|FirstName|LastName|MiddleName|Title|HireDate|BirthDate|EmailAddress|Phone|MaritalStatus|EmergencyContactName|EmergencyContactPhone|SalariedFlag|Gender|PayFrequency|BaseRate|VacationHours|SalesPersonFlag|DepartmentName|StartDate|EndDate|StoreKey
143|Luisa|Cazzaniga||Sales Store Manager|1999-03-04|1966-02-06|LuisaC@contoso.com|615-555-0110|M|Ural Cebeci|615-555-0110|1|F|2|25.0|0|0|Executive|1999-03-04|2003-12-15|82
144|Barak|Regev||Sales Store Manager|1999-03-04|1966-02-06|BarakR@contoso.com|615-555-0110|M|Miles Reid|615-555-0110|1|F|2|25.0|0|0|Executive|2003-12-15||286
145|Sean|Chai||Sales Store Manager|1999-03-04|1964-06-03|michael2@contoso.com|441-555-0195|S|Gareth Chan|441-555-0195|0|M|1|25.0|98|0|Production|1999-03-04||150
146|Enoch|Remick|T.|Sales Store Manager|1999-03-04|1973-11-20|andy0@contoso.com|118-555-0110|M|Olivier Renaud|118-555-0110|0|M|1|25.0|39|0|Production|1999-03-04||307
147|Greg|Chapman||Sales Store Manager|1999-03-05|1967-05-08|yuhong0@contoso.com|965-555-0155|M|Mathew Charles|965-555-0155|0|M|2|25.0|41|0|Production|1999-03-05||244
148|Bjorn|Rettig||Sales Store Manager|1999-03-06|1975-04-01|robert0@contoso.com|589-555-0147|S|Delphine Ribaute|589-555-0147|0|M|1|25.0|82|0|Production|1999-03-06||17
149|Neil|Charney||Sales Store Manager|1999-03-06|1979-04-29|andreas0@contoso.com|181-555-0124|M|Mohammad Chami|181-555-0124|0|M|2|25.0|84|0|Quality Assurance|1999-03-06||190
150|Don|Richardson||Sales Store Manager|1999-03-06|1979-02-09|reed0@contoso.com|678-555-0110|M|Shawn Richardson|678-555-0110|0|M|1|25.0|23|0|Production|1999-03-06||23
151|Ankur|Chavda||Sales Store Manager|1999-03-07|1967-11-06|linda1@contoso.com|696-555-0157|S|Francisco Chaves|696-555-0157|0|F|1|25.0|12|0|Production|1999-03-07||43
152|Wendy|Richardson||Sales Store Manager|1999-03-07|1973-02-07|james1@contoso.com|870-555-0122|S|Jack S. Richins|870-555-0122|1|M|2|25.0|64|0|Production|1999-03-07||83
153|Aik|Chen||Sales Store Manager|1999-03-07|1978-04-14|ramesh0@contoso.com|182-555-0134|S|Jacky Chen|182-555-0134|1|M|2|25.0|73|0|Information Services|1999-03-07||207
154|Anders|Riis||Sales Store Manager|1999-03-08|1974-04-26|stephanie0@contoso.com|594-555-0110|S|Bjarne Riis|594-555-0110|1|F|2|25.0|68|0|Information Services|1999-03-08||201
155|Jeff|Chia||Sales Store Manager|1999-03-08|1977-12-23|samantha0@contoso.com|587-555-0114|M|Martin Chisholm|587-555-0114|0|F|1|25.0|7|0|Production|1999-03-08||296
156|Titti|Ringstrom||Sales Store Manager|1999-03-09|1979-12-12|tawana0@contoso.com|368-555-0113|S|Juan-Carlos Rivas|368-555-0113|0|M|1|25.0|50|0|Production|1999-03-09||75
157|Michal|Chmiela||Sales Store Manager|1999-03-09|1978-08-07|denise0@contoso.com|869-555-0119|M|Manish Chopra|869-555-0119|0|F|1|25.0|9|0|Production|1999-03-09||215
158|John|Rodman||Sales Store Manager|1999-03-10|1967-05-19|hao0@contoso.com|806-555-0136|S|Scott Rockfeld|806-555-0136|0|M|2|25.0|52|0|Human Resources|1999-03-10||258
159|Ray|Chow||Sales Store Manager|1999-03-12|1980-05-14|alex0@contoso.com|819-555-0198|M|Terri Chudzik|819-555-0198|0|M|1|25.0|77|0|Production|1999-03-12||83
160|Don|Roessler||Sales Store Manager|1999-03-12|1966-03-13|eugene1@contoso.com|173-555-0179|S|Marek Rolecki|173-555-0179|0|M|1|25.0|36|0|Production|1999-03-12||146
161|Alice|Ciccu||Sales Store Manager|1999-03-12|1967-02-11|brandon0@contoso.com|429-555-0137|M|Ken Circeo|429-555-0137|0|M|1|25.0|22|0|Production|1999-03-12||235
162|Kelly|Rollin||Sales Store Manager|1999-03-12|1977-03-27|dylan0@contoso.com|181-555-0156|M|Daniel Roman|181-555-0156|1|M|2|25.0|61|0|Research and Development|1999-03-12||80
163|Izak|Cohen||Sales Store Manager|1999-03-12|1980-06-24|shane0@contoso.com|810-555-0178|S|Pat Coleman|810-555-0178|0|M|2|25.0|75|0|Production|1999-03-12||254
164|Daniel|Roth||Sales Store Manager|1999-03-13|1976-05-06|john2@contoso.com|201-555-0163|M|Tali Roth|201-555-0163|0|M|1|25.0|18|0|Production|1999-03-13||241
165|Aaron|Con||Sales Store Manager|1999-03-13|1966-01-25|karen0@contoso.com|746-555-0164|M|Peter Connelly|746-555-0164|0|F|2|25.0|79|0|Document Control|1999-03-13||76
166|Pablo|Rovira Diez||Sales Store Manager|1999-03-14|1974-09-01|jose0@contoso.com|587-555-0115|M|Todd Rowe|587-555-0115|0|M|1|25.0|20|0|Production|1999-03-14||186
167|Kevin|Cook||Sales Store Manager|1999-03-14|1976-04-21|mandar0@contoso.com|140-555-0132|S|Jeroen Cool|140-555-0132|0|M|1|25.0|0|0|Production|1999-03-14||261
168|Erik|Rucker||Sales Store Manager|1999-03-14|1974-09-18|mikael0@contoso.com|309-555-0170|S|Raimonds Rudmanis|309-555-0170|0|M|2|25.0|59|0|Purchasing|1999-03-14||50
169|Jim|Corbin||Sales Store Manager|1999-03-15|1968-07-27|sameer0@contoso.com|990-555-0172|M|Michel Cordani|990-555-0172|0|M|1|25.0|4|0|Production|1999-03-15||306
170|Michael|Ruggiero||Sales Store Manager|1999-03-15|1967-03-18|dragan0@contoso.com|117-555-0185|M|Christian Rytt|117-555-0185|0|M|2|25.0|63|0|Finance|1999-03-15||66
171|Cecilia|Cornejo||Sales Store Manager|1999-03-16|1978-11-18|carol0@contoso.com|609-555-0153|M|Eva Corets|609-555-0153|0|F|1|25.0|45|0|Production|1999-03-16||7
172|Sharon|Salavaria||Sales Store Manager|1999-03-17|1963-09-05|rob1@contoso.com|238-555-0116|S|Raymond Sam|238-555-0116|0|M|1|25.0|71|0|Production|1999-03-17||64
173|Robin|Counts||Sales Store Manager|1999-03-17|1961-07-14|don0@contoso.com|100-555-0174|M|Jack Creasey|100-555-0174|0|M|1|25.0|88|0|Production|1999-03-17||18
174|Ken|Sánchez||Sales Store Manager|1999-03-17|1974-04-30|alan0@contoso.com|438-555-0172|M|Yolanda Sánchez|438-555-0172|0|M|2|25.0|47|0|Production Control|1999-03-17||185
175|Ioan|Crisiarcu||Sales Store Manager|1999-03-18|1975-10-25|david7@contoso.com|118-555-0177|M|Grant Culbertson|118-555-0177|0|M|1|25.0|29|0|Production|1999-03-18||190
176|Mandar|Samant||Sales Store Manager|1999-03-19|1980-11-07|baris0@contoso.com|164-555-0114|S|Prasanna Samarawickrama|164-555-0114|0|M|1|25.0|72|0|Production|1999-03-19||240
177|Scott|Culp||Sales Store Manager|1999-03-19|1979-03-02|michael3@contoso.com|156-555-0199|S|Conor Cunningham|156-555-0199|0|M|2|25.0|70|0|Production|1999-03-19||183
178|Patrick|Sands||Sales Store Manager|1999-03-19|1981-05-07|steve0@contoso.com|712-555-0170|S|Dubravka Salopek|712-555-0170|0|M|1|25.0|31|0|Production|1999-03-19||118
179|Pawel|Czernek||Sales Store Manager|1999-03-20|1977-07-11|suchitra0@contoso.com|753-555-0129|M|Wojciech Czupta|753-555-0129|0|F|1|25.0|15|0|Production|1999-03-20||176
180|Mark|Sargent||Sales Store Manager|1999-03-20|1968-06-19|karen1@contoso.com|654-555-0177|S|Esko Sario|654-555-0177|1|F|2|25.0|74|0|Information Services|1999-03-20||257
181|Apurva|Dalia||Sales Store Manager|1999-03-20|1975-01-09|terrence0@contoso.com|110-555-0115|S|Ofer Daliot|110-555-0115|0|M|1|25.0|13|0|Production|1999-03-20||231
182|Tihomir|Sasic||Sales Store Manager|1999-03-22|1966-02-04|barbara1@contoso.com|822-555-0145|M|Raman Sarin|822-555-0145|1|F|2|25.0|58|0|Finance|1999-03-22||123
183|Jim|Daly||Sales Store Manager|1999-03-22|1980-09-04|chad0@contoso.com|559-555-0175|M|Ryan Danner|559-555-0175|0|M|1|25.0|99|0|Production|1999-03-22||245
184|Michiyo|Sato||Sales Store Manager|1999-03-23|1967-10-15|rostislav0@contoso.com|751-555-0134|M|Naoki Sato|751-555-0134|0|M|1|25.0|40|0|Production|1999-03-23||301
185|Mike|Danseglio||Sales Store Manager|1999-03-24|1959-10-19|belinda0@contoso.com|319-555-0126|S|Alex Darrow|319-555-0126|0|F|1|25.0|83|0|Production|1999-03-24||223
186|Rimvydas|Saulis||Sales Store Manager|1999-03-24|1974-12-20|katie0@contoso.com|809-555-0133|S|Kazuki Sawanoi|809-555-0133|0|F|2|25.0|42|0|Production|1999-03-24||223
187|Shannon|Dascher||Sales Store Manager|1999-03-25|1972-03-14|russell1@contoso.com|517-555-0122|M|Velimir Davidovski|517-555-0122|0|M|1|25.0|24|0|Production|1999-03-25||70
188|George|Schaller||Sales Store Manager|1999-03-25|1973-07-23|jack0@contoso.com|552-555-0111|S|Gary Schare|552-555-0111|0|M|2|25.0|68|0|Production|1999-03-25||24
189|Andrew|Davis||Sales Store Manager|1999-03-26|1978-10-08|andrew0@contoso.com|908-555-0159|S|Sara Davis|908-555-0159|0|M|2|25.0|65|0|Production|1999-03-26||102
190|Rainer|Schiller||Sales Store Manager|1999-03-26|1976-05-10|nicole0@contoso.com|508-555-0129|M|Janet Schorr|508-555-0129|0|F|1|25.0|67|0|Production|1999-03-26||63
191|Eric|Davison||Sales Store Manager|1999-03-27|1961-08-24|frank1@contoso.com|167-555-0139|S|Marlowe Dayley|167-555-0139|0|M|1|25.0|10|0|Production|1999-03-27||159
192|Boris|Scholl||Sales Store Manager|1999-03-27|1970-06-29|peter1@contoso.com|310-555-0133|S|Thorsten Scholl|310-555-0133|0|M|2|25.0|69|0|Information Services|1999-03-27||276
193|Denis|Dehenne||Sales Store Manager|1999-03-27|1964-10-06|anibal0@contoso.com|106-555-0120|S|Aidan Delaney|106-555-0120|0|F|1|25.0|8|0|Production|1999-03-27||228
194|Andreas|Schou||Sales Store Manager|1999-03-28|1971-06-29|ken1@contoso.com|949-555-0174|M|Steve Schmidt|949-555-0174|0|M|1|25.0|51|0|Production|1999-03-28||139
195|Axel|Delgado||Sales Store Manager|1999-03-29|1966-05-18|grant0@contoso.com|955-555-0131|S|Eduard Dell|955-555-0131|0|M|2|25.0|66|0|Human Resources|1999-03-29||104
196|Miguel|Severino||Sales Store Manager|1999-03-29|1979-07-17|michael4@contoso.com|817-555-0186|S|James Seymour|817-555-0186|0|M|1|25.0|94|0|Production|1999-03-29||193
197|Luca|Dellamore||Sales Store Manager|1999-03-30|1978-04-15|lionel0@contoso.com|450-555-0152|S|Stephen Deming|450-555-0152|0|M|1|25.0|78|0|Production|1999-03-30||277
198|Jill|Shrader||Sales Store Manager|1999-03-30|1976-02-11|thomas0@contoso.com|278-555-0118|M|Shish Shridhar|278-555-0118|0|M|1|25.0|37|0|Production|1999-03-30||297
199|Molly|Dempsey||Sales Store Manager|1999-03-30|1975-06-05|jimmy0@contoso.com|927-555-0168|M|Bruno Denuit|927-555-0168|0|M|1|25.0|96|0|Shipping and Receiving|1999-03-30||168
200|Alexandre|Silva||Sales Store Manager|1999-03-30|1972-10-19|michael5@contoso.com|296-555-0121|M|Edmund Silva|296-555-0121|0|M|1|25.0|35|0|Production|1999-03-30||36
201|Prashanth|Desai||Sales Store Manager|1999-03-30|1970-08-19|lori0@contoso.com|289-555-0196|S|Shane DeSeranno|289-555-0196|0|F|2|25.0|76|0|Production|1999-03-30||43
202|Alex|Simmons|J.|Sales Store Manager|1999-04-01|1964-09-21|arvind0@contoso.com|848-555-0163|M|Britta Simon|848-555-0163|0|M|2|25.0|60|0|Purchasing|1999-04-01||50
203|Michael|DeVoe||Sales Store Manager|1999-04-01|1966-01-21|stefen0@contoso.com|165-555-0113|S|Craig Dewar|165-555-0113|0|M|1|25.0|19|0|Production|1999-04-01||304
204|David|Simpson||Sales Store Manager|1999-04-01|1967-11-27|hazem0@contoso.com|869-555-0125|S|Katherine Simpson|869-555-0125|1|M|2|25.0|80|0|Quality Assurance|1999-04-01||277
205|Cari|Dick||Sales Store Manager|1999-04-02|1969-04-09|janet0@contoso.com|393-555-0186|M|Holly Dickson|393-555-0186|0|F|2|25.0|64|0|Finance|1999-04-02||21
206|Ashima|Singhal||Sales Store Manager|1999-04-03|1980-02-26|elizabeth0@contoso.com|318-555-0137|M|Soumya Singhi|318-555-0137|0|F|1|25.0|5|0|Production|1999-04-03||202
207|Cliff|Didcock||Sales Store Manager|1999-04-03|1976-03-07|terry0@contoso.com|138-555-0118|M|Andrew Dixon|138-555-0118|0|M|2|25.0|44|0|Marketing|1999-04-03||280
208|Bonnie|Skelly|L.|Sales Store Manager|1999-04-04|1972-04-24|john3@contoso.com|663-555-0172|S|Morgan Skinner|663-555-0172|0|M|1|25.0|27|0|Production|1999-04-04||194
209|Blaine|Dockter||Sales Store Manager|1999-04-04|1973-06-13|merav0@contoso.com|224-555-0187|M|Jane Dow|224-555-0187|0|F|1|25.0|46|0|Production|1999-04-04||29
210|Egil|Skjold|Ivar|Sales Store Manager|1999-04-04|1974-09-12|brian1@contoso.com|313-555-0196|M|Randy Slycord|313-555-0196|0|M|2|25.0|48|0|Production Control|1999-04-04||54
211|Chris|Downs||Sales Store Manager|1999-04-05|1977-07-07|kitti0@contoso.com|785-555-0132|S|Patricia Doyle|785-555-0132|0|F|1|25.0|89|0|Production|1999-04-05||179
212|Ben|Smith||Sales Store Manager|1999-04-06|1966-03-14|jay0@contoso.com|407-555-0165|S|Denise Smith|407-555-0165|0|M|1|25.0|32|0|Production|1999-04-06||123
213|Jan|Dryml||Sales Store Manager|1999-04-06|1964-12-16|jan0@contoso.com|139-555-0131|S|Dominik Dubicki|139-555-0131|0|M|1|25.0|30|0|Production|1999-04-06||39
214|Brian|Smith||Sales Store Manager|1999-04-06|1973-03-31|brenda0@contoso.com|142-555-0139|M|Derek Snyder|142-555-0139|0|F|2|25.0|71|0|Production|1999-04-06||97
215|Bernard|Duerr||Sales Store Manager|1999-04-07|1978-10-26|andrew1@contoso.com|207-555-0192|S|Marina Dukhon|207-555-0192|0|M|1|25.0|73|0|Production|1999-04-07||14
216|Lorrin|Smith-Bates|G.|Sales Store Manager|1999-04-07|1977-06-26|chris1@contoso.com|575-555-0126|M|Tony Smith|575-555-0126|0|M|2|25.0|75|0|Document Control|1999-04-07||58
217|Andrea|Dunker||Sales Store Manager|1999-04-08|1976-09-07|chris2@contoso.com|315-555-0144|S|Adrian Dumitrascu|315-555-0144|0|M|1|25.0|16|0|Production|1999-04-08||17
218|Martin|Spona||Sales Store Manager|1999-04-08|1977-01-08|shelley0@contoso.com|991-555-0184|S|Christof Sprenger|991-555-0184|0|F|1|25.0|14|0|Production|1999-04-08||289
219|Bart|Duncan||Sales Store Manager|1999-04-09|1978-06-11|gabe0@contoso.com|310-555-0117|M|Daniel Durrer|310-555-0117|0|M|1|25.0|57|0|Production|1999-04-09||296
220|Jeff|Stammler||Sales Store Manager|1999-04-09|1969-08-01|mike0@contoso.com|927-555-0150|S|Jamie Stark|927-555-0150|1|M|2|25.0|59|0|Finance|1999-04-09||207
221|Shelley|Dyck||Sales Store Manager|1999-06-04|1975-01-01|michael6@contoso.com|330-555-2568|M|Maria Dykstra|330-555-2568|1|M|2|25.0|16|0|Research and Development|1999-06-04||115
222|Mark|Steele||Sales Store Manager|2000-01-03|1961-03-21|gary1@contoso.com|110-555-0112|M|Heidi Steen|110-555-0112|1|M|2|25.0|86|0|Facilities and Maintenance|2000-01-03||304
223|Witold|Dyszkiewicz||Sales Store Manager|2000-01-04|1961-10-03|charles0@contoso.com|931-555-0118|S|Krittiya Eamsiri|931-555-0118|0|M|1|25.0|27|0|Production|2000-01-04||178
224|Brad|Sutton||Sales Store Manager|2000-01-07|1976-10-23|ebru0@contoso.com|202-555-0187|S|Kern Sutton|202-555-0187|0|M|1|25.0|93|0|Production|2000-01-07||145
225|Terry|Earls||Sales Store Manager|2000-01-12|1960-12-13|sylvester0@contoso.com|492-555-0174|M|Mads Ebdrup|492-555-0174|0|M|1|25.0|4|0|Production|2000-01-12||174
226|Bernard|Tham||Sales Store Manager|2000-01-12|1961-01-23|brian2@contoso.com|730-555-0117|S|Ram Thirunavukkarasu|730-555-0117|0|M|1|25.0|63|0|Production|2000-01-12||37
227|Josh|Edwards||Sales Store Manager|2000-01-18|1960-12-31|linda2@contoso.com|916-555-0165|M|Alexander Eggerer|916-555-0165|0|F|2|25.0|56|0|Purchasing|2000-01-18||35
228|Sandhya|Thodla||Sales Store Manager|2000-01-19|1933-01-17|betsy0@contoso.com|405-555-0171|S|Tien Dung Thoi|405-555-0171|0|F|1|25.0|99|0|Production|2000-01-19||274
229|Vladimir|Egorov||Sales Store Manager|2000-01-22|1961-09-27|magnus0@contoso.com|583-555-0182|M|Mohamed Elkugia|583-555-0182|0|M|2|25.0|87|0|Facilities and Maintenance|2000-01-22||129
230|Iben|Thorell||Sales Store Manager|2000-01-23|1960-04-07|karan0@contoso.com|447-555-0186|S|Alicia Thornber|447-555-0186|0|M|1|25.0|28|0|Production|2000-01-23||307
231|Patrick|Elliott||Sales Store Manager|2000-01-26|1976-10-20|mary1@contoso.com|283-555-0185|M|Heiko Elmsheuser|283-555-0185|0|F|1|25.0|94|0|Production|2000-01-26||304
232|Justin|Thorp||Sales Store Manager|2000-01-26|1976-10-20|kevin2@contoso.com|555-555-0113|S|Steven Thorpe|555-555-0113|0|M|1|25.0|90|0|Production|2000-01-26||139
233|Anil|Elson||Sales Store Manager|2000-01-30|1961-04-09|mihail0@contoso.com|733-555-0128|S|Terry Eminhizer|733-555-0128|0|M|1|25.0|64|0|Production|2000-01-30||4
234|Danielle|Tiedt||Sales Store Manager|2000-02-02|1976-10-11|bonnie0@contoso.com|264-555-0150|M|Hung-Fu Ting|264-555-0150|0|F|1|25.0|89|0|Production|2000-02-02||164
235|Michael|Entin||Sales Store Manager|2000-02-05|1960-12-25|fukiko0@contoso.com|520-555-0177|M|Alexei Eremenko|520-555-0177|0|M|2|25.0|57|0|Purchasing|2000-02-05||62
236|Olinda|Turner||Sales Store Manager|2000-02-07|1961-11-23|hung-fu0@contoso.com|497-555-0181|S|Richard Turner|497-555-0181|0|M|1|25.0|0|0|Production|2000-02-07||310
237|Ebru|Ersan||Sales Store Manager|2000-02-12|1932-12-30|gordon0@contoso.com|230-555-0144|M|Daniel Escapa|230-555-0144|0|M|2|25.0|52|0|Purchasing|2000-02-12||175
238|Tjeerd|Veninga||Sales Store Manager|2000-02-13|1976-10-14|kimberly0@contoso.com|123-555-0167|S|Raja D. Venugopal|123-555-0167|0|F|1|25.0|95|0|Production|2000-02-13||53
239|Modesto|Estrada||Sales Store Manager|2000-02-17|1933-01-14|kim1@contoso.com|208-555-0114|M|John Evans|208-555-0114|0|F|1|25.0|24|0|Production|2000-02-17||104
240|Gregory|Verny||Sales Store Manager|2000-02-18|1961-01-03|sandeep0@contoso.com|166-555-0156|S|Giorgio Veronesi|166-555-0156|0|M|1|25.0|65|0|Production|2000-02-18||186
241|Ken|Ewert||Sales Store Manager|2000-02-23|1943-06-01|prasanna0@contoso.com|129-555-0199|M|Sten Faerch|129-555-0199|0|M|1|25.0|5|0|Production|2000-02-23||283
242|Peter|Villadsen||Sales Store Manager|2000-02-24|1942-06-13|frank2@contoso.com|163-555-0147|M|Aldis Vilums|163-555-0147|0|M|2|25.0|58|0|Purchasing|2000-02-24||91
243|Antoine|Faisandier||Sales Store Manager|2000-02-25|1964-10-11|min0@contoso.com|590-555-0152|M|Maciej Fedorow|590-555-0152|0|M|1|25.0|1|0|Production|2000-02-25||36
244|Florian|Voss||Sales Store Manager|2000-02-25|1933-01-08|eric1@contoso.com|680-555-0118|M|Rob Walters|680-555-0118|0|M|1|25.0|60|0|Production|2000-02-25||73
246|Kelly|Weadock|J.|Sales Store Manager|2000-02-28|1961-01-03|pat0@contoso.com|720-555-0158|S|Gregory Weber|720-555-0158|0|M|1|25.0|89|0|Facilities and Maintenance|2000-02-28||100
247|Yaniv|Feinberg||Sales Store Manager|2000-03-01|1945-03-02|maciej0@contoso.com|237-555-0128|S|Walter Felhofer|237-555-0128|0|M|1|25.0|30|0|Production|2000-03-01||244
248|Martin|Weber||Sales Store Manager|2000-03-03|1961-02-04|erin0@contoso.com|842-555-0158|S|Maira Wenzel|842-555-0158|0|F|2|25.0|66|0|Purchasing|2000-03-03||159
249|Dan|Fennell||Sales Store Manager|2000-03-04|1976-10-11|patrick0@contoso.com|413-555-0124|S|Burke Fewel|413-555-0124|0|M|1|25.0|96|0|Production|2000-03-04||295
250|Cindy|White||Sales Store Manager|2000-03-08|1942-04-03|frank3@contoso.com|203-555-0196|M|Jim Wickham|203-555-0196|0|M|1|25.0|66|0|Production|2000-03-08||143
251|Franziska|Fiegler||Sales Store Manager|2000-03-08|1961-10-12|ed0@contoso.com|919-555-0140|S|Heinrich Fischer|919-555-0140|0|M|1|25.0|25|0|Production|2000-03-08||46
252|Greg|Winston||Sales Store Manager|2000-03-11|1976-11-01|christopher0@contoso.com|153-555-0166|M|Rainer Witte|153-555-0166|0|M|1|25.0|91|0|Production|2000-03-11||127
253|William|Flash||Sales Store Manager|2000-03-15|1964-01-24|patrick1@contoso.com|425-555-0117|M|Florence Flipo|425-555-0117|0|M|1|25.0|61|0|Production|2000-03-15||179
254|Robin|Wood||Sales Store Manager|2000-03-16|1961-10-06|krishna0@contoso.com|491-555-0183|S|Joanna Yuan|491-555-0183|0|M|1|25.0|2|0|Production|2000-03-16||24
255|Raymond|Fong||Sales Store Manager|2000-03-19|1960-08-31|lori1@contoso.com|295-555-0161|M|Olivier Fontana|295-555-0161|0|F|1|25.0|90|0|Facilities and Maintenance|2000-03-19||247
256|Karin|Zimprich||Sales Store Manager|2000-03-23|1976-10-08|danielle0@contoso.com|500-555-0172|S|Erwin Zischka|500-555-0172|0|F|1|25.0|97|0|Production|2000-03-23||180
257|Jeff|Ford||Sales Store Manager|2000-03-26|1933-01-05|sootha0@contoso.com|325-555-0137|M|Viggo Forde|325-555-0137|0|M|2|25.0|85|0|Quality Assurance|2000-03-26||26
258|Aziz|Hassouneh||Sales Store Manager|2000-03-26|1963-10-07|michael7@contoso.com|582-555-0148|S|Satomi Hayakawa|582-555-0148|0|M|1|25.0|26|0|Production|2000-03-26||221
259|Diane|Forsyth||Sales Store Manager|2000-03-26|1960-05-29|randy0@contoso.com|961-555-0122|M|Garth Fort|961-555-0122|0|M|1|25.0|29|0|Production|2000-03-26||126
260|Arno|Harteveld||Sales Store Manager|2000-03-30|1976-10-29|john4@contoso.com|254-555-0114|S|Roger Harui|254-555-0114|0|M|1|25.0|92|0|Production|2000-03-30||221
261|Soren|Francker||Sales Store Manager|2000-04-03|1963-09-30|jack1@contoso.com|521-555-0113|S|Jill Frank|521-555-0113|0|M|1|25.0|62|0|Production|2000-04-03||252
262|Mark|Harrington||Sales Store Manager|2000-04-04|1960-05-05|olinda0@contoso.com|306-555-0186|S|Phyllis Harris|306-555-0186|0|F|1|25.0|3|0|Production|2000-04-04||118
263|Joel|Frauenheim||Sales Store Manager|2000-04-05|1962-01-17|stuart1@contoso.com|539-555-0149|M|Sven Freitag|539-555-0149|0|M|1|25.0|88|0|Facilities and Maintenance|2000-04-05||13
264|Eran|Harel||Sales Store Manager|2000-04-07|1944-05-25|jo1@contoso.com|228-555-0159|M|Walter Harp|228-555-0159|0|F|1|25.0|91|0|Facilities and Maintenance|2000-04-07||31
265|Victor|Freitas||Sales Store Manager|2000-04-09|1963-07-05|ben0@contoso.com|151-555-0113|M|Mihail Frintu|151-555-0113|0|M|2|25.0|55|0|Purchasing|2000-04-09||25
266|Claus|Hansen||Sales Store Manager|2000-04-10|1976-11-01|tom0@contoso.com|295-555-0161|M|Mark Hanson|295-555-0161|0|M|1|25.0|98|0|Production|2000-04-10||213
267|Gabe|Frost||Sales Store Manager|2001-01-05|1968-02-18|ovidiu0@contoso.com|719-555-0181|S|Don Funk|719-555-0181|0|M|2|25.0|7|0|Tool Design|2001-01-05||34
268|Jim|Hance||Sales Store Manager|2001-01-06|1968-03-01|annette0@contoso.com|125-555-0196|M|Kerim Hanif|125-555-0196|0|F|2|25.0|50|0|Purchasing|2001-01-06||192
269|Kari|Furse||Sales Store Manager|2001-01-23|1979-06-29|janice0@contoso.com|473-555-0117|M|Lawrie Gaffney|473-555-0117|0|F|2|25.0|8|0|Tool Design|2001-01-23||281
270|David|Hamilton||Sales Store Manager|2001-01-25|1968-02-18|reinout0@contoso.com|370-555-0163|M|Jay Hamlin|370-555-0163|0|M|2|25.0|51|0|Purchasing|2001-01-25||21
271|Mike|Gahrns||Sales Store Manager|2001-01-30|1969-07-17|michael8@contoso.com|465-555-0156|S|Chris Gallagher|465-555-0156|1|M|2|25.0|3|0|Engineering|2001-01-30||215
272|Dean|Halstead||Sales Store Manager|2001-02-04|1941-11-17|stephen0@contoso.com|238-555-0197|M|Thomas Hamborg|238-555-0197|1|M|2|25.0|14|1|Sales|2001-02-04||242
273|Janet|Galore||Sales Store Manager|2001-02-07|1965-04-17|wanida0@contoso.com|708-555-0141|M|David Galvin|708-555-0141|0|F|2|25.0|41|0|Marketing|2001-02-07||53
274|Adina|Hagege||Sales Store Manager|2001-02-18|1951-06-03|sharon0@contoso.com|970-555-0138|M|Pernille Halberg|970-555-0138|1|F|2|25.0|4|0|Engineering|2001-02-18||189
275|Cesar|Garcia||Sales Store Manager|2001-03-10|1968-04-06|john5@contoso.com|486-555-0150|S|Debra Garcia|486-555-0150|0|M|2|25.0|48|0|Marketing|2001-03-10||264
276|Mary|Andersen|Kay|Sales Store Manager|2001-03-17|1968-03-01|mary2@contoso.com|124-555-0114|S|Ivo Haemels|124-555-0114|0|F|2|25.0|43|0|Marketing|2001-03-17||209
277|Hugo|Garcia||Sales Store Manager|2001-03-18|1967-07-08|brian3@contoso.com|716-555-0127|S|Euan Garden|716-555-0127|1|M|2|25.0|10|0|Sales|2001-03-18||138
278|Allan|Guinot||Sales Store Manager|2001-03-28|1968-03-13|AllanG@contoso.com|210-555-0193|S|Pedro Gutierrez|210-555-0193|1|F|2|25.0|49|0|Purchasing|2001-03-28|2001-08-30|171
279|Davide|Garghentini||Sales Store Manager|2001-03-28|1968-03-13|DavideG@contoso.com|210-555-0193|S|Benjamin Gay|210-555-0193|1|F|2|25.0|49|0|Purchasing|2001-08-31|2002-08-15|193
280|Eric|Gruber||Sales Store Manager|2001-03-28|1968-03-13|EricG@contoso.com|210-555-0193|S|Daniela Guaita|210-555-0193|1|F|2|25.0|49|0|Purchasing|2002-08-16||114
281|Inbar|Gazit||Sales Store Manager|2001-07-01|1959-01-26|michael9@contoso.com|257-555-0154|S|Darren Gehring|257-555-0154|1|M|2|25.0|38|1|Sales|2001-07-01||44
282|Seth|Grossman||Sales Store Manager|2001-07-01|1970-03-30|linda3@contoso.com|883-555-0116|M|Brian Groth|883-555-0116|1|F|2|25.0|27|1|Sales|2001-07-01||132
283|Christa|Geller||Sales Store Manager|2001-07-01|1952-09-29|jillian0@contoso.com|517-555-0117|S|Jens Geschwandtner|517-555-0117|1|F|2|25.0|24|1|Sales|2001-07-01||39
284|Carlos|Grilo||Sales Store Manager|2001-07-01|1965-03-07|garrett1@contoso.com|922-555-0165|M|Geoff Grisso|922-555-0165|1|M|2|25.0|33|1|Sales|2001-07-01||227
285|Tom|Getzinger||Sales Store Manager|2001-07-01|1964-02-19|tsvi0@contoso.com|664-555-0112|M|Wriju Ghosh|664-555-0112|1|M|2|25.0|29|1|Sales|2001-07-01||266
